10642,4,cha,2015-04-14,181,201500108,1,cle,7:11 PM,"48 degrees, cloudy"
27525,3,cin,2015-04-14,165,201500109,2,chn,7:04 PM,"51 degrees, partly cloudy"
41051,4,col,2015-04-14,189,201500110,1,sfn,7:16 PM,"58 degrees, clear"
31755,2,det,2015-04-14,170,201500111,0,pit,7:08 PM,"63 degrees, cloudy"
15765,8,mia,2015-04-14,180,201500112,2,atl,7:10 PM,"79 degrees, partly cloudy"
19283,3,nya,2015-04-14,149,201500113,4,bal,7:07 PM,"56 degrees, overcast"
18935,4,oak,2015-04-14,178,201500114,0,hou,7:10 PM,"73 degrees, roof closed"
39489,5,phi,2015-04-14,192,201500115,6,nyn,7:11 PM,"65 degrees, cloudy"
43115,5,sea,2015-04-14,220,201500116,6,lan,7:10 PM,"67 degrees, clear"
17264,3,tba,2015-04-14,186,201500117,2,tor,7:07 PM,"68 degrees, roof closed"
35258,7,was,2015-04-14,203,201500118,8,bos,6:10 PM,"63 degrees, cloudy"
25757,10,ana,2015-04-15,193,201500119,2,tex,1:07 PM,"70 degrees, sunny"
23104,2,ari,2015-04-15,161,201500120,3,sdn,6:12 PM,"70 degrees, clear"
11042,2,cha,2015-04-15,178,201500121,4,cle,12:11 PM,"52 degrees, partly cloudy"
29205,0,cin,2015-04-15,159,201500122,5,chn,7:05 PM,"49 degrees, partly cloudy"
41188,4,col,2015-04-15,171,201500123,2,sfn,7:14 PM,"64 degrees, clear"
19509,1,det,2015-04-15,172,201500124,0,pit,7:06 PM,"64 degrees, cloudy"
21362,1,kca,2015-04-15,145,201500125,3,min,7:10 PM,"67 degrees, partly cloudy"
18342,6,mia,2015-04-15,145,201500126,2,atl,12:10 PM,"68 degrees, cloudy"
40826,2,mil,2015-04-15,170,201500127,4,sln,7:15 PM,"64 degrees, cloudy"
23409,5,nya,2015-04-15,194,201500128,7,bal,7:08 PM,"66 degrees, overcast"
19777,1,oak,2015-04-15,162,201500129,6,hou,7:12 PM,"78 degrees, clear"
21052,1,phi,2015-04-15,156,201500130,6,nyn,7:10 PM,"66 degrees, partly cloudy"
51287,2,sea,2015-04-15,173,201500131,5,lan,7:15 PM,"72 degrees, clear"
15086,7,tba,2015-04-15,182,201500132,12,tor,7:06 PM,"68 degrees, roof closed"
33493,10,was,2015-04-15,188,201500133,5,bos,1:37 PM,"66 degrees, partly cloudy"
41545,7,ari,2015-04-16,260,201500134,6,sfn,7:15 PM,"62 degrees, clear"
17449,5,kca,2015-04-16,181,201500135,8,min,12:11 PM,"63 degrees, partly cloudy"
20556,5,mia,2015-04-16,181,201500136,7,nyn,7:12 PM,"59 degrees, clear"
40079,0,mil,2015-04-16,174,201500137,4,sln,12:45 PM,"72 degrees, partly cloudy"
24768,2,phi,2015-04-16,136,201500138,5,was,7:05 PM,"70 degrees, cloudy"
14433,4,tba,2015-04-16,180,201500139,2,tor,7:06 PM,"68 degrees, roof closed"
22660,6,ana,2015-04-17,177,201500140,3,hou,7:11 PM,"73 degrees, roof closed"
41550,9,ari,2015-04-17,180,201500141,0,sfn,7:15 PM,"54 degrees, clear"
21397,8,atl,2015-04-17,189,201500142,7,tor,7:07 PM,"68 degrees, roof closed"
34341,2,bal,2015-04-17,193,201500143,3,bos,7:11 PM,"64 degrees, cloudy"
33084,1,cha,2015-04-17,155,201500144,2,det,1:08 PM,"64 degrees, sunny"
46462,1,cin,2015-04-17,141,201500145,6,sln,7:16 PM,"77 degrees, clear"
21307,2,cle,2015-04-17,218,201500146,3,min,7:12 PM,"74 degrees, partly cloudy"
48950,3,col,2015-04-17,198,201500147,7,lan,7:11 PM,"73 degrees, clear"
38753,1,mia,2015-04-17,158,201500148,4,nyn,7:10 PM,"68 degrees, partly cloudy"
25664,3,mil,2015-04-17,177,201500149,6,pit,7:07 PM,"77 degrees, partly cloudy"
15752,5,nya,2015-04-17,192,201500150,4,tba,7:11 PM,"72 degrees, dome"
39228,4,oak,2015-04-17,153,201500151,6,kca,7:10 PM,"74 degrees, cloudy"
31608,2,phi,2015-04-17,158,201500152,7,was,7:05 PM,"71 degrees, cloudy"
32138,5,sdn,2015-04-17,177,201500153,4,chn,1:20 PM,"55 degrees, partly cloudy"
36606,3,tex,2015-04-17,180,201500154,1,sea,7:10 PM,"59 degrees, clear"
28209,0,ana,2015-04-18,158,201500155,4,hou,6:11 PM,"73 degrees, roof closed"
41756,1,ari,2015-04-18,158,201500156,4,sfn,6:07 PM,"62 degrees, clear"
34743,5,atl,2015-04-18,161,201500157,6,tor,1:09 PM,"68 degrees, roof closed"
37655,4,bal,2015-04-18,204,201500158,1,bos,4:06 PM,"47 degrees, sunny"
39877,12,cha,2015-04-18,181,201500159,3,det,1:08 PM,"70 degrees, sunny"
45906,2,cin,2015-04-18,162,201500160,5,sln,1:15 PM,"75 degrees, cloudy"
23949,4,cle,2015-04-18,153,201500161,2,min,1:11 PM,"67 degrees, partly cloudy"
45912,3,col,2015-04-18,175,201500162,6,lan,6:11 PM,"72 degrees, clear"
41844,4,mia,2015-04-18,171,201500163,5,nyn,7:10 PM,"73 degrees, partly cloudy"
33961,2,mil,2015-04-18,150,201500164,6,pit,7:07 PM,"73 degrees, partly cloudy"
20824,9,nya,2015-04-18,187,201500165,0,tba,7:10 PM,"72 degrees, dome"
33151,5,oak,2015-04-18,154,201500166,0,kca,6:11 PM,"65 degrees, partly cloudy"
35330,5,phi,2015-04-18,176,201500167,3,was,1:06 PM,"77 degrees, sunny"
33958,6,sdn,2015-04-18,229,201500168,7,chn,1:20 PM,"43 degrees, partly cloudy"
43017,1,tex,2015-04-18,180,201500169,3,sea,6:11 PM,"62 degrees, clear"
24254,3,ana,2015-04-19,200,201500170,4,hou,1:12 PM,"73 degrees, roof closed"
41528,5,ari,2015-04-19,165,201500171,1,sfn,1:05 PM,"61 degrees, cloudy"
44794,5,atl,2015-04-19,161,201500172,2,tor,1:08 PM,"68 degrees, roof closed"
37761,8,bal,2015-04-19,194,201500173,3,bos,1:38 PM,"49 degrees, sunny"
30357,1,cha,2015-04-19,165,201500174,9,det,1:09 PM,"54 degrees, partly cloudy"
40742,1,cin,2015-04-19,122,201500175,2,sln,7:08 PM,"62 degrees, overcast"
17923,2,cle,2015-04-19,165,201500176,7,min,1:12 PM,"58 degrees, overcast"
44666,0,col,2015-04-19,175,201500177,7,lan,1:09 PM,"76 degrees, sunny"
41234,6,mia,2015-04-19,169,201500178,7,nyn,1:12 PM,"58 degrees, partly cloudy"
28129,2,mil,2015-04-19,159,201500179,5,pit,1:37 PM,"70 degrees, partly cloudy"
21791,5,nya,2015-04-19,213,201500180,3,tba,1:10 PM,"72 degrees, dome"
36755,2,oak,2015-04-19,188,201500181,4,kca,1:13 PM,"65 degrees, cloudy"
36631,1,phi,2015-04-19,160,201500182,4,was,1:37 PM,"68 degrees, cloudy"
29113,5,sdn,2015-04-19,171,201500183,2,chn,1:21 PM,"53 degrees, partly cloudy"
31601,10,tex,2015-04-19,225,201500184,11,sea,1:11 PM,"64 degrees, sunny"
36829,1,bal,2015-04-20,141,201500185,7,bos,11:04 AM,"44 degrees, cloudy"
11777,5,chn,2015-04-20,193,201500186,2,pit,7:33 PM,"60 degrees, cloudy"
26660,6,cin,2015-04-20,143,201500187,1,mil,6:21 PM,"63 degrees, roof closed"
13055,3,cle,2015-04-20,173,201500188,4,cha,7:10 PM,"46 degrees, overcast"
15129,7,hou,2015-04-20,206,201500189,5,sea,7:10 PM,"70 degrees, clear"
20393,1,min,2015-04-20,163,201500190,7,kca,7:09 PM,"58 degrees, partly cloudy"
27540,1,nya,2015-04-20,140,201500191,2,det,7:09 PM,"52 degrees, overcast"
35228,6,oak,2015-04-20,177,201500192,3,ana,7:08 PM,"70 degrees, clear"
22586,14,sdn,2015-04-20,189,201500193,3,col,6:43 PM,"52 degrees, partly cloudy"
21033,1,atl,2015-04-21,161,201500194,7,nyn,7:10 PM,"63 degrees, clear"
14184,6,bal,2015-04-21,173,201500195,13,tor,7:07 PM,"68 degrees, roof closed"
14307,1,bos,2015-04-21,168,201500196,0,tba,7:09 PM,"72 degrees, dome"
13680,9,chn,2015-04-21,198,201500197,8,pit,7:07 PM,"55 degrees, cloudy"
